source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ENSG00000005339	ENSG00000008282	CREBBP	SYPL1	0.3414	-0.4686	-0.4570	-0.5721	0.0000
ENSG00000005339	ENSG00000072501	CREBBP	SMC1A	0.3669	0.4166	0.4077	0.3927	0.0002
ENSG00000005339	ENSG00000116350	CREBBP	SRSF4	0.3457	-0.3212	-0.3303	-0.3712	0.0044
ENSG00000005339	ENSG00000139180	CREBBP	NDUFA9	0.4025	0.3103	0.3092	0.2911	0.0060
ENSG00000005339	ENSG00000160613	CREBBP	PCSK7	0.3409	-0.2668	-0.3157	-0.3323	0.0190
ENSG00000005339	ENSG00000213722	CREBBP	DDAH2	0.3783	0.3298	0.3567	0.3771	0.0034
ENSG00000005339	ENSG00000261971	CREBBP	MMP25-AS1	0.4263	0.1697	0.1670	0.0389	0.1401
ENSG00000005469	ENSG00000115841	CROT	RMDN2	0.3757	-0.0327	-0.0329	-0.0368	0.7776
ENSG00000005469	ENSG00000133392	CROT	MYH11	0.3252	-0.0380	-0.0382	-0.0485	0.7426
ENSG00000005469	ENSG00000188659	CROT	SAXO2	0.3407	-0.0265	-0.0267	-0.0242	0.8188
ENSG00000005471	ENSG00000167797	ABCB4	CDK2AP2	0.3469	-0.0957	-0.0943	-0.1338	0.4075
ENSG00000005483	ENSG00000023191	KMT2E	RNH1	0.3690	0.3699	0.3043	0.3709	0.0009
ENSG00000005483	ENSG00000072364	KMT2E	AFF4	0.4512	-0.0758	-0.0172	-0.0766	0.5121
ENSG00000005483	ENSG00000090266	KMT2E	NDUFB2	0.3752	-0.0871	-0.2012	-0.0874	0.4512
ENSG00000005483	ENSG00000093183	KMT2E	SEC22C	0.3654	0.2113	0.1960	0.1663	0.0650
ENSG00000005483	ENSG00000100567	KMT2E	PSMA3	0.3479	0.2598	0.1611	0.2225	0.0225
ENSG00000005483	ENSG00000102738	KMT2E	MRPS31	0.4286	0.2924	0.1532	0.2559	0.0099
ENSG00000005483	ENSG00000103363	KMT2E	ELOB	0.5065	-0.1090	-0.1751	-0.1062	0.3453
ENSG00000005483	ENSG00000105254	KMT2E	TBCB	0.4233	0.1041	-0.0942	0.0983	0.3675
ENSG00000005483	ENSG00000106153	KMT2E	CHCHD2	0.3707	0.0673	0.0000	0.0585	0.5611
ENSG00000005483	ENSG00000106244	KMT2E	PDAP1	0.4168	0.2499	0.1498	0.2403	0.0284
ENSG00000005483	ENSG00000108639	KMT2E	SYNGR2	0.3337	-0.2139	-0.2622	-0.2112	0.0618
ENSG00000005483	ENSG00000110700	KMT2E	RPS13	0.3825	0.1197	0.1810	0.0139	0.2998
ENSG00000005483	ENSG00000110955	KMT2E	ATP5F1B	0.3934	0.2157	0.0434	0.2216	0.0595
ENSG00000005483	ENSG00000114902	KMT2E	SPCS1	0.4344	0.1439	0.0259	0.1533	0.2120
ENSG00000005483	ENSG00000115685	KMT2E	PPP1R7	0.3662	0.4081	0.3638	0.3550	0.0002
ENSG00000005483	ENSG00000117335	KMT2E	CD46	0.3703	-0.2520	-0.3337	-0.2218	0.0270
ENSG00000005483	ENSG00000119655	KMT2E	NPC2	0.3673	0.1848	0.2140	0.2017	0.1077
ENSG00000005483	ENSG00000122406	KMT2E	RPL5	0.3188	0.1346	0.0958	0.0271	0.2430
ENSG00000005483	ENSG00000122644	KMT2E	ARL4A	0.3654	0.1870	0.1924	0.1914	0.1035
ENSG00000005483	ENSG00000122986	KMT2E	HVCN1	0.3961	-0.0266	0.0210	-0.0216	0.8186
ENSG00000005483	ENSG00000125971	KMT2E	DYNLRB1	0.3792	0.2772	0.2436	0.2730	0.0147
ENSG00000005483	ENSG00000126756	KMT2E	UXT	0.3657	-0.0891	-0.0817	-0.0892	0.4409
ENSG00000005483	ENSG00000127824	KMT2E	TUBA4A	0.3554	0.0317	-0.1273	0.0321	0.7846
ENSG00000005483	ENSG00000128699	KMT2E	ORMDL1	0.4062	0.1989	-0.0052	0.2021	0.0829
ENSG00000005483	ENSG00000129128	KMT2E	SPCS3	0.4012	0.1949	0.0946	0.1833	0.0893
ENSG00000005483	ENSG00000134996	KMT2E	OSTF1	0.3382	0.3409	0.4188	0.3437	0.0024
ENSG00000005483	ENSG00000136861	KMT2E	CDK5RAP2	0.3164	0.2243	0.1501	0.1393	0.0499
ENSG00000005483	ENSG00000142864	KMT2E	SERBP1	0.3747	0.0459	-0.0119	0.0444	0.6919
ENSG00000005483	ENSG00000148334	KMT2E	PTGES2	0.3882	0.1890	0.0944	0.1334	0.0998
ENSG00000005483	ENSG00000159388	KMT2E	BTG2	0.3750	0.3353	0.2562	0.2965	0.0029
ENSG00000005483	ENSG00000165119	KMT2E	HNRNPK	0.4162	0.2832	0.1714	0.2299	0.0126
ENSG00000005483	ENSG00000168175	KMT2E	MAPK1IP1L	0.3922	0.2738	0.1698	0.2383	0.0160
ENSG00000005483	ENSG00000169826	KMT2E	CSGALNACT2	0.3430	-0.1379	-0.1191	-0.0707	0.2317
ENSG00000005483	ENSG00000175602	KMT2E	CCDC85B	0.3686	-0.1477	-0.2788	-0.1474	0.1998
ENSG00000005483	ENSG00000177455	KMT2E	CD19	0.3821	-0.1642	-0.1940	-0.1667	0.1536
ENSG00000005483	ENSG00000179583	KMT2E	CIITA	0.4145	0.1830	0.0830	0.1747	0.1112
ENSG00000005483	ENSG00000196323	KMT2E	ZBTB44	0.3741	0.1235	0.2506	0.1007	0.2845
ENSG00000005483	ENSG00000204525	KMT2E	HLA-C	0.3658	0.0367	-0.0043	0.0220	0.7511
ENSG00000005483	ENSG00000211772	KMT2E	TRBC2	0.4261	0.1698	0.1314	0.1752	0.1399
ENSG00000005483	ENSG00000213551	KMT2E	DNAJC9	0.3465	0.2468	0.1274	0.1949	0.0305
ENSG00000005483	ENSG00000244754	KMT2E	N4BP2L2	0.3359	0.2429	0.1152	0.2413	0.0333
ENSG00000005483	ENSG00000247982	KMT2E	LINC00926	0.3647	-0.1169	0.0831	-0.1128	0.3112
ENSG00000005483	ENSG00000265681	KMT2E	RPL17	0.4513	-0.2454	-0.2680	-0.2544	0.0315
ENSG00000005844	ENSG00000171159	ITGAL	C9orf16	0.4007	0.0062	-0.0671	0.0101	0.9570
ENSG00000005844	ENSG00000271383	ITGAL	NBPF19	0.4405	0.6101	0.6038	0.5813	0.0000
ENSG00000005882	ENSG00000123154	PDK2	WDR83	0.3469	-0.0828	-0.0831	-0.0730	0.4742
ENSG00000005882	ENSG00000126953	PDK2	TIMM8A	0.3629	-0.0737	-0.0739	-0.0591	0.5242
ENSG00000005882	ENSG00000151445	PDK2	VIPAS39	0.3348	0.2367	0.2299	0.2627	0.0382
ENSG00000006007	ENSG00000106415	GDE1	GLCCI1	0.3461	0.0469	0.0424	0.0632	0.6858
ENSG00000006007	ENSG00000120053	GDE1	GOT1	0.3329	0.1754	0.1941	0.1301	0.1270
ENSG00000006007	ENSG00000184640	GDE1	SEPT9	0.3560	0.1703	0.0586	0.2970	0.1388
ENSG00000006062	ENSG00000096384	MAP3K14	HSP90AB1	0.3760	-0.2744	-0.3122	-0.3009	0.0157
ENSG00000006062	ENSG00000139645	MAP3K14	ANKRD52	0.2899	-0.0858	-0.0861	-0.0426	0.4579
ENSG00000006432	ENSG00000150593	MAP3K9	PDCD4	0.3521	-0.0792	-0.1180	-0.1937	0.4936
ENSG00000006451	ENSG00000005810	RALA	MYCBP2	0.2922	0.0516	0.0938	0.0600	0.6557
ENSG00000006451	ENSG00000076513	RALA	ANKRD13A	0.3651	-0.2312	-0.2020	-0.2435	0.0430
ENSG00000006451	ENSG00000111639	RALA	MRPL51	0.3521	0.3963	0.4050	0.4162	0.0004
ENSG00000006451	ENSG00000126005	RALA	MMP24OS	0.3628	-0.3073	-0.3058	-0.2999	0.0066
ENSG00000006451	ENSG00000172922	RALA	RNASEH2C	0.3631	0.1767	0.1533	0.1750	0.1241
ENSG00000006451	ENSG00000177410	RALA	ZFAS1	0.3696	-0.1847	-0.0898	-0.1413	0.1078
ENSG00000006451	ENSG00000182944	RALA	EWSR1	0.3878	-0.3479	-0.3483	-0.3930	0.0019
ENSG00000006638	ENSG00000162994	TBXA2R	CLHC1	0.3527	-0.0529	-0.0530	-0.0598	0.6480
ENSG00000006638	ENSG00000169891	TBXA2R	REPS2	0.3591	-0.0230	-0.0231	-0.0119	0.8424
ENSG00000006695	ENSG00000107872	COX10	FBXL15	0.3104	0.1776	0.1880	0.2626	0.1223
ENSG00000006740	ENSG00000172534	ARHGAP44	HCFC1	0.3269	-0.0302	-0.0302	-0.0710	0.7946
ENSG00000006744	ENSG00000100364	ELAC2	KIAA0930	0.3765	-0.1567	-0.1566	-0.1610	0.1735
ENSG00000006756	ENSG00000091651	ARSD	ORC6	0.3463	-0.0472	-0.0474	-0.0891	0.6836
ENSG00000006756	ENSG00000105700	ARSD	KXD1	0.3317	0.0902	0.0688	0.2778	0.4352
ENSG00000006756	ENSG00000116752	ARSD	BCAS2	0.3585	0.0146	-0.0016	0.0482	0.8998
ENSG00000006756	ENSG00000152464	ARSD	RPP38	0.3954	0.1290	0.1392	0.2993	0.2636
ENSG00000006757	ENSG00000198960	PNPLA4	ARMCX6	0.4090	0.2695	0.2660	0.3235	0.0178
ENSG00000007168	ENSG00000105369	PAFAH1B1	CD79A	0.3289	-0.2981	-0.1714	-0.2318	0.0085
ENSG00000007168	ENSG00000108465	PAFAH1B1	CDK5RAP3	0.3195	-0.0862	-0.1130	-0.1029	0.4563
ENSG00000007168	ENSG00000128928	PAFAH1B1	IVD	0.3281	0.2165	0.2259	0.1502	0.0585
ENSG00000007168	ENSG00000133731	PAFAH1B1	IMPA1	0.3577	0.2862	0.2735	0.2665	0.0116
ENSG00000007168	ENSG00000136897	PAFAH1B1	MRPL50	0.3662	0.5661	0.5715	0.4654	0.0000
ENSG00000007168	ENSG00000152240	PAFAH1B1	HAUS1	0.3812	0.4145	0.3977	0.3988	0.0002
ENSG00000007168	ENSG00000167674	PAFAH1B1	HDGFL2	0.3952	0.3599	0.3304	0.3512	0.0013
ENSG00000007168	ENSG00000196172	PAFAH1B1	ZNF681	0.3496	-0.0608	-0.0604	-0.0169	0.5994
ENSG00000007264	ENSG00000275700	MATK	AATF	0.3186	-0.0562	-0.0560	-0.2103	0.6276
ENSG00000007312	CD56	CD79B	CD56_TotalSeqB	0.4097	0.5525	0.2652	0.1029	0.0000
ENSG00000007312	ENSG00000032219	CD79B	ARID4A	0.3479	0.1343	0.3136	0.1490	0.2442
ENSG00000007312	ENSG00000054118	CD79B	THRAP3	0.3332	-0.0630	0.0339	-0.0735	0.5862
ENSG00000007312	ENSG00000086730	CD79B	LAT2	0.4309	0.2341	0.3129	0.2931	0.0404
ENSG00000007312	ENSG00000089280	CD79B	FUS	0.3701	0.0085	-0.1019	0.0066	0.9416
ENSG00000007312	ENSG00000099875	CD79B	MKNK2	0.4081	0.2757	0.2247	0.3333	0.0152
ENSG00000007312	ENSG00000100721	CD79B	TCL1A	0.3675	0.1495	0.3390	0.2099	0.1944
ENSG00000007312	ENSG00000101160	CD79B	CTSZ	0.3741	-0.2629	-0.1832	-0.3143	0.0209
ENSG00000007312	ENSG00000104870	CD79B	FCGRT	0.3645	-0.4706	-0.3470	-0.4610	0.0000
ENSG00000007312	ENSG00000105369	CD79B	CD79A	0.3649	0.6731	0.3888	0.4769	0.0000
ENSG00000007312	ENSG00000105939	CD79B	ZC3HAV1	0.3837	-0.0124	-0.0663	-0.0145	0.9145
ENSG00000007312	ENSG00000108061	CD79B	SHOC2	0.3846	0.0910	0.1129	0.0995	0.4313
ENSG00000007312	ENSG00000108106	CD79B	UBE2S	0.3372	0.1724	0.1275	0.2082	0.1338
ENSG00000007312	ENSG00000109062	CD79B	SLC9A3R1	0.3727	0.0350	0.0721	0.0309	0.7627
ENSG00000007312	ENSG00000109920	CD79B	FNBP4	0.4070	-0.2338	-0.2881	-0.2815	0.0407
ENSG00000007312	ENSG00000110848	CD79B	CD69	0.3491	0.4797	0.4507	0.5573	0.0000
ENSG00000007312	ENSG00000113558	CD79B	SKP1	0.3470	-0.1493	-0.1802	-0.1592	0.1951
ENSG00000007312	ENSG00000114902	CD79B	SPCS1	0.3925	-0.2113	-0.2946	-0.2630	0.0651
ENSG00000007312	ENSG00000122644	CD79B	ARL4A	0.3799	0.3773	0.3859	0.4509	0.0007
ENSG00000007312	ENSG00000123836	CD79B	PFKFB2	0.3342	-0.4069	-0.1717	-0.3099	0.0002
ENSG00000007312	ENSG00000137815	CD79B	RTF1	0.3735	-0.3213	-0.2709	-0.3485	0.0044
ENSG00000007312	ENSG00000143207	CD79B	COP1	0.3233	-0.2476	-0.3722	-0.1671	0.0299
ENSG00000007312	ENSG00000147526	CD79B	TACC1	0.4000	-0.5001	-0.3197	-0.5580	0.0000
ENSG00000007312	ENSG00000147654	CD79B	EBAG9	0.3436	0.2298	0.4113	0.2270	0.0443
ENSG00000007312	ENSG00000150347	CD79B	ARID5B	0.3853	0.3332	-0.0479	0.4104	0.0031
ENSG00000007312	ENSG00000152492	CD79B	CCDC50	0.3850	-0.4160	-0.2174	-0.5212	0.0002
ENSG00000007312	ENSG00000153914	CD79B	SREK1	0.3641	-0.2907	-0.3324	-0.3153	0.0103
ENSG00000007312	ENSG00000164587	CD79B	RPS14	0.3744	0.0202	-0.0103	0.0039	0.8615
ENSG00000007312	ENSG00000166347	CD79B	CYB5A	0.3189	0.2894	0.3177	0.3151	0.0107
ENSG00000007312	ENSG00000168421	CD79B	RHOH	0.3728	0.2907	0.3175	0.3540	0.0103
ENSG00000007312	ENSG00000187514	CD79B	PTMA	0.3468	-0.0865	0.0864	-0.0148	0.4542
ENSG00000007312	ENSG00000204287	CD79B	HLA-DRA	0.3934	0.2527	0.1835	0.0523	0.0266
ENSG00000007312	ENSG00000211898	CD79B	IGHD	0.3719	0.2803	0.3601	0.3180	0.0135
ENSG00000007312	ENSG00000212694	CD79B	LINC01089	0.3599	-0.5265	-0.2734	-0.3284	0.0000
ENSG00000007312	ENSG00000213654	CD79B	GPSM3	0.3386	0.1902	0.1683	0.2031	0.0975
ENSG00000007312	ENSG00000223865	CD79B	HLA-DPB1	0.3628	0.0739	-0.0379	0.0195	0.5227
ENSG00000007312	ENSG00000224032	CD79B	EPB41L4A-AS1	0.3339	0.3262	0.2966	0.3612	0.0038
ENSG00000007312	ENSG00000227507	CD79B	LTB	0.3399	0.4966	0.4779	0.3500	0.0000
ENSG00000007312	ENSG00000241468	CD79B	ATP5MF	0.3893	-0.1093	-0.0841	-0.1267	0.3440
ENSG00000007541	ENSG00000082512	PIGQ	TRAF5	0.3206	0.0039	-0.0036	0.0066	0.9735
ENSG00000007541	ENSG00000113658	PIGQ	SMAD5	0.3306	0.0083	0.0205	0.0099	0.9431
ENSG00000008018	CD45RO	PSMB1	CD45RO_TotalSeqB	0.3421	-0.0926	-0.1268	-0.0162	0.4229
ENSG00000008018	ENSG00000023318	PSMB1	ERP44	0.3564	-0.0565	-0.1124	-0.0547	0.6253
ENSG00000008018	ENSG00000068308	PSMB1	OTUD5	0.4155	0.0558	-0.0700	0.0494	0.6297
ENSG00000008018	ENSG00000084070	PSMB1	SMAP2	0.3909	0.1746	0.0441	0.1793	0.1288
ENSG00000008018	ENSG00000086300	PSMB1	SNX10	0.3553	-0.2581	-0.3552	-0.2416	0.0234
ENSG00000008018	ENSG00000091490	PSMB1	SEL1L3	0.3886	0.0307	0.0545	0.0306	0.7908
ENSG00000008018	ENSG00000092841	PSMB1	MYL6	0.3694	0.1947	0.3749	0.1543	0.0897
ENSG00000008018	ENSG00000100129	PSMB1	EIF3L	0.3778	0.3278	0.3073	0.2963	0.0036
ENSG00000008018	ENSG00000100387	PSMB1	RBX1	0.3987	0.2205	0.1389	0.2120	0.0540
ENSG00000008018	ENSG00000103363	PSMB1	ELOB	0.4793	0.1513	0.1986	0.1443	0.1889
ENSG00000008018	ENSG00000105202	PSMB1	FBL	0.3773	0.2268	0.1431	0.2255	0.0473
ENSG00000008018	ENSG00000107438	PSMB1	PDLIM1	0.3917	-0.0817	-0.1291	-0.0802	0.4798
ENSG00000008018	ENSG00000109189	PSMB1	USP46	0.3713	0.1504	0.1124	0.0409	0.1918
ENSG00000008018	ENSG00000110848	PSMB1	CD69	0.3794	-0.2887	-0.3859	-0.2812	0.0109
ENSG00000008018	ENSG00000116459	PSMB1	ATP5PB	0.4002	0.2875	0.2257	0.2813	0.0112
ENSG00000008018	ENSG00000122643	PSMB1	NT5C3A	0.3970	-0.0609	-0.1649	-0.0589	0.5989
ENSG00000008018	ENSG00000122705	PSMB1	CLTA	0.3392	0.0329	0.1440	0.0287	0.7762
ENSG00000008018	ENSG00000125952	PSMB1	MAX	0.3992	0.0398	-0.0773	0.0375	0.7308
ENSG00000008018	ENSG00000131508	PSMB1	UBE2D2	0.3595	0.2690	0.2690	0.2479	0.0180
ENSG00000008018	ENSG00000134825	PSMB1	TMEM258	0.4476	0.3622	0.3664	0.3707	0.0012
ENSG00000008018	ENSG00000136104	PSMB1	RNASEH2B	0.3854	0.0069	-0.0546	0.0069	0.9526
ENSG00000008018	ENSG00000136950	PSMB1	ARPC5L	0.3749	0.2000	0.1934	0.1897	0.0812
ENSG00000008018	ENSG00000140319	PSMB1	SRP14	0.3780	0.2847	0.2836	0.1954	0.0121
ENSG00000008018	ENSG00000144746	PSMB1	ARL6IP5	0.4344	0.3022	0.1376	0.2922	0.0076
ENSG00000008018	ENSG00000146066	PSMB1	HIGD2A	0.4217	0.0803	0.0218	0.0793	0.4874
ENSG00000008018	ENSG00000147274	PSMB1	RBMX	0.3074	0.2563	0.1909	0.2485	0.0245
ENSG00000008018	ENSG00000147684	PSMB1	NDUFB9	0.3954	0.0241	-0.0715	0.0229	0.8351
ENSG00000008018	ENSG00000151092	PSMB1	NGLY1	0.3571	0.1266	0.0799	0.1229	0.2725
ENSG00000008018	ENSG00000154723	PSMB1	ATP5PF	0.4365	0.3094	0.3041	0.3028	0.0062
ENSG00000008018	ENSG00000157873	PSMB1	TNFRSF14	0.4116	0.0101	-0.0906	0.0097	0.9308
ENSG00000008018	ENSG00000163683	PSMB1	SMIM14	0.4065	-0.0235	-0.0941	-0.0250	0.8393
ENSG00000008018	ENSG00000166598	PSMB1	HSP90B1	0.3514	0.2767	0.2483	0.2935	0.0148
ENSG00000008018	ENSG00000171530	PSMB1	TBCA	0.3435	0.1894	0.0519	0.1807	0.0990
ENSG00000008018	ENSG00000175416	PSMB1	CLTB	0.3034	0.3182	0.2998	0.2682	0.0048
ENSG00000008018	ENSG00000178951	PSMB1	ZBTB7A	0.3988	0.1018	0.0073	0.0988	0.3782
ENSG00000008018	ENSG00000178982	PSMB1	EIF3K	0.3878	-0.0789	-0.0571	-0.0717	0.4955
ENSG00000008018	ENSG00000181222	PSMB1	POLR2A	0.3951	0.1855	0.2014	0.1869	0.1062
ENSG00000008018	ENSG00000183283	PSMB1	DAZAP2	0.3575	0.2898	0.1749	0.2565	0.0106
ENSG00000008018	ENSG00000184432	PSMB1	COPB2	0.3539	-0.0274	0.0562	-0.0202	0.8130
ENSG00000008018	ENSG00000197747	PSMB1	S100A10	0.3957	-0.1182	-0.1378	-0.1169	0.3057
ENSG00000008018	ENSG00000205707	PSMB1	ETFRF1	0.3827	0.3054	0.3212	0.2143	0.0069
ENSG00000008018	ENSG00000233927	PSMB1	RPS28	0.4124	0.1341	0.1712	0.0192	0.2449
ENSG00000008018	ENSG00000243317	PSMB1	STMP1	0.3720	0.3691	0.3253	0.3108	0.0010
ENSG00000008130	ENSG00000099624	NADK	ATP5F1D	0.3235	0.2384	0.2842	0.3409	0.0368
ENSG00000008130	ENSG00000115956	NADK	PLEK	0.3982	0.3298	0.3781	0.4997	0.0034
ENSG00000008130	ENSG00000125454	NADK	SLC25A19	0.3430	0.2976	0.2937	0.3027	0.0086
ENSG00000008130	ENSG00000130748	NADK	TMEM160	0.3494	0.2829	0.3613	0.3776	0.0127
ENSG00000008130	ENSG00000153827	NADK	TRIP12	0.3575	0.4389	0.4263	0.4758	0.0001
ENSG00000008130	ENSG00000169727	NADK	GPS1	0.3742	0.4562	0.4609	0.5510	0.0000
ENSG00000008130	ENSG00000197157	NADK	SND1	0.4006	0.3856	0.3687	0.4740	0.0005
ENSG00000008382	ENSG00000133657	MPND	ATP13A3	0.3356	0.0873	0.1023	0.0718	0.4502
