source	target	MI
CTNNB1	SWSAP1	0.2446
CTNNB1	TIMM23	0.2268
CTNNB1	UBE2F	0.2324
CTNNB1	UNK	0.2445
CTNNB1	VILL	0.2533
EOMES	CACNA2D4	0.2356
EOMES	ERGIC1	0.2391
EOMES	FCGRT	0.2329
EOMES	GSK3B	0.2373
EOMES	HERC5	0.2302
EOMES	ID2	0.2485
EOMES	JUN	0.2105
EOMES	KLHL24	0.2635
EOMES	LRRC42	0.2456
EOMES	MESDC2	0.2553
EOMES	MYBL1	0.2372
EOMES	PCM1	0.2494
EOMES	PRDM4	0.2170
EOMES	SERPINA1	0.2803
EOMES	SLC12A9	0.2230
EOMES	SYNE2	0.2380
EOMES	TMEM127	0.2891
EP300	C19orf25	0.2650
EP300	CD300A	0.2331
EP300	DUSP28	0.2396
EP300	H1FX	0.2275
EP300	ITPR1	0.2459
EP300	METTL25	0.2519
EP300	MLH3	0.2447
EP300	MTMR9	0.2366
EP300	PLEC	0.2437
EP300	PRR5L	0.2488
EP300	RELL2	0.2350
EP300	S100A9	0.2708
EP300	ZNF143	0.2545
FOS	AK3	0.2486
FOS	AKAP10	0.2317
FOS	AOAH	0.2167
FOS	ATAD1	0.2640
FOS	BYSL	0.2157
FOS	CD58	0.2385
FOS	CLEC2B	0.2372
FOS	CLPTM1L	0.2665
FOS	CMIP	0.2837
FOS	COTL1	0.2463
FOS	DOLPP1	0.2319
FOS	ERO1LB	0.2250
FOS	GABPA	0.2301
FOS	GAPDH	0.2507
FOS	GSTP1	0.2925
FOS	GZMK	0.2190
FOS	HOPX	0.2511
FOS	ISG15	0.2291
FOS	KIF21A	0.2416
FOS	LYAR	0.2522
FOS	LYL1	0.2288
FOS	MYL6	0.2380
FOS	NFKBIA	0.2493
FOS	PARP11	0.2325
FOS	PITPNM1	0.2430
FOS	PPM1D	0.2415
FOS	PTRH1	0.2506
FOS	RMND5A	0.2509
FOS	SLC15A3	0.2476
FOS	STAT3	0.2486
FOS	TIGIT	0.2478
FOS	TNFSF14	0.2355
FOS	YTHDC1	0.2313
FOSB	AP001816.1	0.2542
FOSB	ARID5A	0.2210
FOSB	CAST	0.2397
FOSB	DIP2B	0.2272
FOSB	IFI16	0.2697
FOSB	MYBL1	0.2144
FOSB	PRKAG1	0.2686
FOSB	RAB11FIP1	0.2525
FOSB	TBC1D7	0.2551
FOSB	TESC	0.2974
FOSB	ZNF708	0.2538
GABPA	ABCB7	0.2301
GABPA	AGPAT1	0.2492
GABPA	ATP6V0A2	0.2350
GABPA	C3orf58	0.2358
GABPA	C9orf37	0.2196
GABPA	CTSW	0.2557
GABPA	DTX2	0.2052
GABPA	FOS	0.2301
GABPA	GNGT2	0.2231
GABPA	MAN1A2	0.2238
GABPA	METTL3	0.2206
GABPA	MIDN	0.2260
GABPA	MYSM1	0.1981
GABPA	PACS1	0.2377
GABPA	PRR5L	0.2322
GABPA	PTDSS2	0.2509
GABPA	RILP	0.2486
GABPA	SEC22A	0.2459
GABPA	SLC10A3	0.2431
GABPA	ST20	0.2590
GABPA	TBC1D23	0.2479
GABPA	TRIB3	0.2595
GABPA	TSPO	0.1926
GABPA	YPEL1	0.2596
GFI1	ABHD11	0.2123
GFI1	AKAP10	0.2498
GFI1	ARMC5	0.2782
GFI1	BROX	0.2196
GFI1	DAGLB	0.2551
GFI1	GRIPAP1	0.2311
GFI1	JRKL	0.2466
GFI1	MPST	0.2136
GFI1	PHF21A	0.2243
GFI1	PPP6R2	0.2436
GFI1	PRKRIP1	0.2528
GFI1	RCOR3	0.2695
GFI1	RRAS2	0.2243
GFI1	SLC22A18	0.2555
GFI1	TNFSF14	0.2458
GFI1	ZMPSTE24	0.2454
GFI1	ZYX	0.2307
HMGB2	AGPAT1	0.2356
HMGB2	AOAH	0.2327
HMGB2	ARID5B	0.2174
HMGB2	CDKN2D	0.2293
HMGB2	GSN	0.2651
HMGB2	LRRC25	0.2553
HMGB2	MLH3	0.2632
HMGB2	NSMAF	0.2675
HMGB2	NUDT9	0.2220
HMGB2	PISD	0.2388
HMGB2	PLEKHF1	0.2264
HMGB2	PSMB5	0.2321
HMGB2	RNF25	0.2552
HMGB2	RRAGC	0.2210
HMGB2	SYNGR1	0.2368
HMGB2	TCEB3	0.2446
HMGB2	UNC93B1	0.2050
HMGB2	ZDHHC18	0.2573
HMGN5	ANKRD32	0.2495
HMGN5	ARSG	0.2497
HMGN5	C12orf75	0.2731
HMGN5	C9orf114	0.2515
HMGN5	CD300A	0.2536
HMGN5	CD79A	0.2195
HMGN5	DDX42	0.2311
HMGN5	DOLPP1	0.2580
HMGN5	DTX2	0.2328
HMGN5	DUSP1	0.2630
HMGN5	FCHO1	0.2302
HMGN5	GRHPR	0.2671
HMGN5	LINC00909	0.2285
HMGN5	LYAR	0.2420
HMGN5	OPA3	0.2446
HMGN5	POP4	0.2713
HMGN5	PPP1R14B	0.2367
HMGN5	PYHIN1	0.2537
HMGN5	RCOR3	0.2654
HMGN5	RSF1	0.2226
HMGN5	S100A9	0.2611
HMGN5	SETX	0.2198
HMGN5	SP3	0.2681
HMGN5	SPI1	0.2376
HMGN5	TMEM55A	0.2477
HMGN5	UBXN7	0.2759
HMGN5	ZNF37A	0.2653
HOPX	ABHD14A	0.2500
HOPX	ACOT13	0.2433
HOPX	AP5B1	0.2355
HOPX	APLP2	0.2465
HOPX	ASCL2	0.2512
HOPX	BATF	0.2563
HOPX	BLVRB	0.2502
HOPX	C1orf109	0.2171
HOPX	CLEC2B	0.2386
HOPX	DDX42	0.2357
HOPX	DNAJC21	0.2288
HOPX	DUSP2	0.2375
HOPX	ETFA	0.2576
HOPX	FLNA	0.2704
HOPX	FOS	0.2511
HOPX	GZMK	0.2404
HOPX	IFITM2	0.2383
HOPX	MYL6	0.2678
HOPX	NEAT1	0.2471
HOPX	PTCD3	0.2178
HOPX	SLK	0.2348
HOPX	SPAG16	0.2454
HOPX	SPRYD7	0.2110
HOPX	TCHP	0.2041
HOPX	TIGIT	0.2400
HOPX	UNK	0.2684
HOPX	ZNF480	0.2395
ID3	BATF	0.2035
ID3	FAM43A	0.2379
ID3	GABARAPL1	0.2261
ID3	GIGYF2	0.2312
ID3	GPX1	0.2733
ID3	HERC5	0.2358
ID3	HTT	0.2583
ID3	IER5	0.2261
ID3	KLRC1	0.2733
ID3	LGALS1	0.2302
ID3	LYL1	0.2721
ID3	MARCH7	0.2157
ID3	NUDT9	0.2195
ID3	PCM1	0.2241
ID3	PEPD	0.2170
ID3	PHTF1	0.2840
ID3	RRP1	0.2308
ID3	SAT1	0.2546
ID3	TIMM10B	0.2533
ID3	TMEM156	0.2523
ID3	TRNT1	0.2483
ID3	TSGA10	0.2455
ID3	ZNF33B	0.1979
IFI16	AGL	0.2536
IFI16	AK3	0.2255
IFI16	ALOX5AP	0.2429
IFI16	CCR7	0.2306
IFI16	CD3D	0.2442
IFI16	DGKA	0.2276
IFI16	DHX36	0.2101
IFI16	DIAPH1	0.2277
IFI16	FCER1G	0.2729
IFI16	FOSB	0.2697
IFI16	GNPTAB	0.2116
IFI16	IPO5	0.2591
IFI16	JUND	0.2332
IFI16	KBTBD2	0.2250
IFI16	LAIR1	0.2747
IFI16	LYAR	0.2303
IFI16	MAN1A2	0.2659
IFI16	MED19	0.2498
IFI16	PHF19	0.2589
IFI16	PITPNM1	0.2938
IFI16	PYHIN1	0.2346
IFI16	RANBP6	0.2479
IFI16	RMND5A	0.2496
IFI16	S100B	0.2514
IFI16	SLC22A18	0.2523
IFI16	SYNGR1	0.2841
IFI16	SYTL2	0.2428
IFI16	ZNF277	0.2312
IKZF3	ACBD6	0.2368
IKZF3	ADAR	0.2274
IKZF3	AGL	0.2166
IKZF3	BPNT1	0.2350
IKZF3	EAF2	0.2596
IKZF3	GLT8D1	0.2270
IKZF3	IRF2BP1	0.2807
IKZF3	RGS2	0.2278
IKZF3	SNX2	0.2470
IKZF3	THUMPD1	0.2601
IKZF3	USP28	0.2637
IRF3	ADAM15	0.2746
IRF3	ATP6V0A2	0.2400
IRF3	C19orf25	0.2303
IRF3	CACNA2D4	0.2449
IRF3	CREBRF	0.2904
IRF3	ETFA	0.2208
IRF3	GTF3C5	0.2560
IRF3	HELB	0.2763
IRF3	ICAM1	0.2819
IRF3	IRF7	0.2367
IRF3	LINC00152	0.2358
IRF3	LINC00909	0.2361
IRF3	MMP23B	0.2321
IRF3	NUP88	0.2470
IRF3	PLEC	0.2344
IRF3	STAG2	0.2851
IRF3	TYK2	0.2738
IRF3	USP28	0.2606
IRF3	XCL1	0.2533
IRF3	YWHAH	0.2330
IRF3	ZNF567	0.2414
IRF3	ZNF683	0.2788
IRF5	C4orf48	0.2253
IRF5	CISH	0.2722
IRF5	CLEC2B	0.2698
IRF5	CTSS	0.2522
IRF5	DIP2B	0.2344
IRF5	FAM43A	0.2698
IRF5	GCSAM	0.2179
IRF5	HAUS1	0.2426
IRF5	ITM2C	0.2456
IRF5	KRIT1	0.2800
IRF5	MRPS31	0.2336
IRF5	NBAS	0.2688
IRF5	NPC2	0.2523
IRF5	PIGP	0.2494
IRF5	PLEC	0.2185
IRF5	RHOC	0.2265
IRF5	SLC2A8	0.2478
IRF5	SMCO4	0.2313
IRF5	ZNF480	0.2611
IRF5	ZNF550	0.2251
IRF5	ZRANB1	0.2534
IRF7	ATF6	0.2584
IRF7	CAMTA1	0.2400
IRF7	CCR10	0.2391
IRF7	DYRK1B	0.2189
IRF7	EAF2	0.2191
IRF7	ERGIC1	0.2143
IRF7	IRF3	0.2367
IRF7	LRCH3	0.2296
IRF7	NDUFAF7	0.2536
IRF7	PEPD	0.2825
IRF7	PLXNB2	0.2381
IRF7	PRKAR2A	0.2460
IRF7	SHMT1	0.2479
JUN	ABCB7	0.2575
JUN	AKAP8	0.2253
JUN	CD247	0.2461
JUN	CST7	0.2481
JUN	CTSW	0.2086
JUN	DVL2	0.2360
JUN	EOMES	0.2105
JUN	GAPDH	0.2503
JUN	ID2	0.2658
JUN	IER2	0.2313
JUN	KLRG1	0.2202
JUN	MS4A6A	0.2378
JUN	MSL1	0.2632
JUN	MYL6	0.2927
JUN	NCR3	0.2331
JUN	NUDT15	0.2430
JUN	PSAP	0.2756
JUN	S100A6	0.2261
JUN	SELPLG	0.2828
JUN	SETD3	0.2379
JUN	TMEM91	0.2279
JUN	VIM	0.2801
JUN	ZZEF1	0.2293
JUND	AKNA	0.2333
JUND	AP5B1	0.2545
JUND	CRAT	0.2263
JUND	FAM134C	0.2888
JUND	IFI16	0.2332
JUND	IRF2BP1	0.2430
JUND	KIF3A	0.2420
JUND	LRRC42	0.2398
JUND	LYN	0.2267
JUND	MS4A7	0.2460
JUND	PARP4	0.2415
JUND	SNX2	0.2299
JUND	TCHP	0.2480
JUND	TESC	0.2478
JUND	TRPT1	0.2322
JUND	TSPO	0.2538
JUND	USP28	0.2667
KDM1A	AHNAK	0.2322
KDM1A	ANKRD11	0.2313
KDM1A	BOD1	0.2517
KDM1A	BOLA1	0.2390
KDM1A	CD81	0.2488
KDM1A	CISH	0.2635
KDM1A	FAM26F	0.2379
KDM1A	GORAB	0.2501
KDM1A	GRPEL2	0.2574
KDM1A	HELB	0.2321
KDM1A	MED31	0.2231
KDM1A	NDRG1	0.2752
KDM1A	PHTF1	0.2302
KDM1A	POGK	0.2361
KDM1A	PPP2R5D	0.2517
KDM1A	PPP3CA	0.2294
KDM1A	SCYL2	0.2152
KDM1A	SH3BP5	0.2638
KDM1A	SNX2	0.2341
KDM1A	TFB1M	0.2509
KDM1A	USP9X	0.2406
LYL1	BPNT1	0.2310
LYL1	C9orf37	0.2453
LYL1	CD151	0.2396
LYL1	FOS	0.2288
LYL1	GAPDH	0.2122
LYL1	HAGHL	0.2403
LYL1	ID3	0.2721
LYL1	NBAS	0.2632
LYL1	NFKBIA	0.2257
LYL1	PARVB	0.2356
LYL1	PSMB4	0.2619
LYL1	PTGER2	0.2811
LYL1	SLAMF7	0.2485
LYL1	SPON2	0.2386
LYL1	STAU2	0.2583
LYL1	VCL	0.2311
MAFG	ACTR8	0.2416
MAFG	AHNAK	0.2171
MAFG	ATRIP	0.2154
MAFG	BOD1L1	0.2232
MAFG	CTSS	0.2425
MAFG	GPKOW	0.2711
MAFG	MMP23B	0.2229
MAFG	P2RX5	0.2120
MAFG	PACS1	0.2321
MAFG	PPP1R16B	0.2554
MAFG	RSU1	0.2658
MAFG	SELPLG	0.2621
MAFG	SSSCA1	0.2513
MAFG	THAP2	0.2377
MAFG	TMEM205	0.2498
MAFG	TRIB3	0.2399
MAFG	TSPO	0.2244
MAFG	ZBTB16	0.2634
MAFG	ZNF37A	0.2485
MAX	C9orf114	0.2528
MAX	C9orf89	0.2703
MAX	CEP57	0.2237
MAX	CHD1L	0.2555
MAX	DNAJB11	0.2560
MAX	FAM134C	0.2299
MAX	FAM178A	0.2874
MAX	FAM229B	0.2513
MAX	FLYWCH2	0.2572
MAX	GIGYF2	0.2330
MAX	GOLGA5	0.2231
MAX	IQGAP1	0.2176
MAX	MSL3	0.2430
MAX	MTMR3	0.2476
MAX	NSG1	0.2277
MAX	NUP214	0.2321
MAX	PATL1	0.2357
MAX	PLA2G16	0.2555
MAX	PLGRKT	0.2492
MAX	PLIN2	0.2457
MAX	PPP2R5D	0.2641
MAX	SLC22A18	0.2094
MAX	STX3	0.2627
MAX	TMEM127	0.2262
MECP2	ADRB2	0.2875
MECP2	ARL13B	0.2574
MECP2	AZIN1	0.2475
MECP2	BTBD7	0.2557
MECP2	CAPN12	0.2238
MECP2	DENND1B	0.2313
MECP2	DIS3L2	0.2412
MECP2	DSEL	0.2612
MECP2	DUSP28	0.2324
MECP2	GRN	0.2762
MECP2	H2AFJ	0.2303
MECP2	IGLL5	0.2635
MECP2	IL4R	0.2474
MECP2	IQGAP1	0.2446
MECP2	LDHB	0.2830
MECP2	PPP6R2	0.2252
MECP2	RFC1	0.2402
MECP2	RPF1	0.2576
MECP2	SSSCA1	0.2660
MECP2	STXBP2	0.2396
MECP2	TIMM23	0.2326
MECP2	USP28	0.2520
MECP2	ZNF708	0.2444
MSL3	ACBD6	0.2627
MSL3	ANKRD11	0.2411
MSL3	ARID5B	0.2480
MSL3	C6orf211	0.2087
MSL3	CAMTA1	0.3022
MSL3	CCDC59	0.2651
MSL3	CREBRF	0.2713
MSL3	DCAF5	0.2704
MSL3	FAM178A	0.2439
MSL3	GIGYF2	0.2530
MSL3	HERC5	0.2364
MSL3	MARCH5	0.2432
MSL3	MAX	0.2430
MSL3	MIIP	0.2248
MSL3	NUDT15	0.2655
MSL3	R3HDM2	0.2411
MSL3	RHOB	0.2336
MSL3	SBNO1	0.2471
MSL3	SYTL2	0.2331
MSL3	USP28	0.2235
MSL3	ZNF37A	0.2260
MXD4	BLVRB	0.2380
MXD4	CAST	0.2642
MXD4	CD151	0.2363
MXD4	DUSP2	0.2280
MXD4	GNGT2	0.2319
MXD4	GSTO1	0.2073
MXD4	ISG15	0.2632
MXD4	KIF2A	0.2384
MXD4	LRCH3	0.2436
MXD4	MYL6	0.2119
MXD4	PLIN2	0.2599
MXD4	PYROXD2	0.2430
MXD4	SEPHS1	0.2464
MXD4	SLC6A6	0.2787
MXD4	TCF12	0.2287
MXD4	TTC7A	0.2159
MXD4	ZNF226	0.2313
MYBL1	BLVRB	0.2277
MYBL1	C6orf211	0.2561
MYBL1	CCR7	0.2281
MYBL1	CD320	0.3214
MYBL1	CLPTM1L	0.2327
MYBL1	COTL1	0.2729
MYBL1	EOMES	0.2372
MYBL1	FOSB	0.2144
MYBL1	GSTP1	0.2278
MYBL1	GZMA	0.2509
MYBL1	ISCA2	0.2329
MYBL1	KIAA0922	0.2536
MYBL1	LST1	0.2478
MYBL1	MARCH7	0.2555
MYBL1	METTL25	0.2259
MYBL1	MTMR3	0.2742
MYBL1	PHF21A	0.2258
MYBL1	PPP1R12C	0.2563
MYBL1	RENBP	0.2425
MYBL1	TNFRSF18	0.2505
MYBL1	TRMT10C	0.2693
MYBL1	TYROBP	0.2346
MYBL1	ZNF593	0.3014
NFYB	ATF1	0.2242
NFYB	BTBD7	0.2620
NFYB	CDKN2D	0.2685
NFYB	DDX6	0.2469
NFYB	DSEL	0.2408
NFYB	FLNA	0.2350
NFYB	GAB3	0.2532
NFYB	GRHPR	0.2641
NFYB	HENMT1	0.2215
NFYB	KLRG1	0.2110
NFYB	LMNA	0.2539
NFYB	LYAR	0.2221
NFYB	MAPK1	0.2339
NFYB	MFSD10	0.2464
NFYB	MTMR9	0.2450
NFYB	OSBPL9	0.2228
NFYB	TRRAP	0.2593
NFYB	UBE2H	0.2541
NFYB	ZDHHC13	0.2371
NFYB	ZNF226	0.2337
NR4A2	CCR7	0.2625
NR4A2	CHD6	0.2224
NR4A2	CXXC5	0.2744
NR4A2	EFCAB14	0.2506
NR4A2	FAM134C	0.2169
NR4A2	GTF3C1	0.2316
NR4A2	HMBS	0.2262
NR4A2	LAT2	0.2129
NR4A2	PEX11B	0.2502
